month_name,SKU Code,Qty
April,562022,8
April,562027,19
April,562028,34
April,562030,21
April,562033,3
April,562034,24
April,562035,6
April,562036,29
April,562040,17
April,562041,21
April,562046,5
April,562255,2
April,562256,3
April,562394,27
April,562395,20
April,562396,48
April,562400,1
April,562401,4
April,562407,20
April,562408,14
April,562409,23
April,562790,20
April,562791,2
April,562946,48
April,562969,1
April,562979,8
April,562981,1
April,562982,4
April,562983,2
April,562989,16
April,562990,6
April,563013,59
April,563634,26
April,563824,125
April,563935,52
April,563936,95
April,563937,2
April,564051,17
April,564052,6
April,564253,30
April,564257,6
April,564260,1
April,564586,1
April,564603,1
April,564877,8
April,564878,4
April,564881,41
April,564901,14
April,565732,3
April,566767,140
April,567020,2
April,567101,4
April,567113,3
April,567370,39
April,567371,50
April,567373,76
April,567374,49
April,567386,2
April,567389,44
April,567391,5
April,567392,3
April,567393,7
April,567394,9
April,567395,5
April,567470,18
April,567471,12
April,567473,24
April,567474,22
April,567840,6
April,568392,5
April,568417,13
April,568422,16
April,568949,3
April,568953,8
April,568954,2
April,568956,2
April,568957,3
April,568958,1
April,568959,16
April,568960,71
April,568961,1
April,568964,2
April,568967,43
April,568971,5
April,568972,17
April,568974,36
April,568975,63
April,568976,77
April,569112,2
April,569113,23
April,569114,6
April,569115,24
April,569116,21
April,569117,26
April,569118,5
April,569124,34
April,569125,2
April,569126,5
April,569127,1
April,569192,39
April,569193,24
April,569194,50
April,569211,14
April,569802,11
April,569803,49
April,570291,10
April,570292,41
April,570293,12
April,570294,4
April,570297,8
April,570598,9
April,570599,20
April,570600,5
April,570725,3
April,570727,1
April,570728,1
April,570732,3
April,570927,182
April,570928,127
April,570929,143
April,570932,50
April,570933,2
April,570934,8
April,570935,56
April,570936,20
April,570937,2
April,570938,35
April,570939,36
April,570940,28
April,570941,91
April,570942,161
April,570943,17
April,570944,23
April,570959,111
April,570961,479
April,570963,119
April,570965,53
April,570966,152
April,570967,100
April,570969,220
April,570970,120
April,570971,219
April,570972,128
April,570973,189
April,570974,35
April,570975,183
April,570976,85
April,570977,34
April,570978,148
April,570997,4
April,570998,6
April,570999,1
April,571002,2
April,571004,1
April,571006,2
April,571007,1
April,571018,61
April,571020,1
April,571021,11
April,571030,21
April,571031,1
April,571033,5
April,571034,2
April,571035,23
April,571036,8
April,571131,191
April,571132,26
April,571133,42
April,571134,28
April,571135,44
April,571136,36
April,571137,29
April,571138,167
April,571139,20
April,571140,31
April,571141,41
April,571156,4
April,571158,4
April,571223,150
April,571224,1
April,571225,153
April,571227,108
April,571229,39
April,571230,26
April,571231,70
April,571232,1
April,571233,1
April,571234,46
April,571235,100
April,571236,3
April,571238,28
April,571239,1
April,571241,4
April,571243,16
April,571245,53
April,571247,101
April,571248,97
April,571249,58
April,571250,2
April,571252,1
April,571253,41
April,571255,3
April,571256,1
April,571257,1
April,571259,51
April,571260,19
April,571261,13
April,571262,1
April,571265,22
April,571268,8
April,571269,26
April,571270,48
April,571271,17
April,571272,17
April,571273,54
April,571276,1
April,571277,6
April,571278,3
April,571279,1
April,571378,29
April,571379,59
April,571424,113
April,571425,75
April,571426,71
April,571427,58
April,571428,8
April,571429,12
April,571439,15
April,571440,11
April,571441,1
April,571582,3
April,571583,3
April,571584,6
April,571585,1
April,571588,1
April,571589,1
April,571593,4
April,571594,5
April,571595,1
April,571596,1
April,571597,3
April,571598,4
April,571599,7
April,571600,1
April,571601,3
April,571602,3
April,571927,16
