Category,Num_SKUs,Actual_Total,Forecast_Total,MAE,Volume_Error_%,Volume_Error_%_Aggregate,Avg_SKU_Error_%
MAKEUP,124,8064.0,8784.149766363884,1.3917120398498002,inf,8.93,inf
SKIN,84,5195.0,5970.788423519607,1.377803975371028,57.102619047619044,14.93,57.1
HAIR CARE,29,1967.0,2354.02207272705,1.387972278131691,33.529310344827586,19.68,33.53
PW,6,165.0,257.05140278702675,1.1247409711265641,58.971666666666664,55.79,58.97
