SKU_Code,Product_Name,Brand,Category,Train_Days,Test_Days,Actual_Total,Forecast_Total,MAE,MAPE,Accuracy,Volume_Error_%,Volume_Accuracy_%,Bias,Bias_%
571273,LAKMEABS 3DLIPSTICK 20WINEFLAIR 3.6GM,Lakme,MAKEUP,126,23,50.0,49.77133266029349,1.047879426353939,3566.172643116766,0.0,0.4573346794130231,99.54266532058698,-0.22866733970651154,-0.4573346794130231
572056,LAKME9-5 MAT2GLASLIQLIPMB02BRWNSUGR7.6GM,Lakme,MAKEUP,138,21,41.0,40.76027436741224,1.0985705743358627,4209.741853799898,0.0,0.5846966648482036,99.41530333515179,-0.23972563258776347,-0.5846966648482036
545190,LAKME 9TO5 P+M COMPACT NATURAL LIGHT9G,Lakme,MAKEUP,114,18,30.0,29.811657810547157,0.8691234428493971,3876.0216885427617,0.0,0.627807298176144,99.37219270182385,-0.1883421894528432,-0.627807298176144
570927,LBP ARGAN OIL & LAVENDER COND 200ML,LBP,HAIR CARE,232,29,189.0,187.43790651788947,2.8038539015927837,1742.2206518568498,0.0,0.8265044878891675,99.17349551211083,-1.5620934821105266,-0.8265044878891675
576872,LAKME 9TO5 HYA MAT LIPSTK AFTRHRSWINE3.6,Lakme,MAKEUP,77,26,61.0,60.422484763314905,1.164300387303305,2434.8685416443577,0.0,0.9467462896476961,99.05325371035231,-0.5775152366850946,-0.9467462896476961
530302,LAK ABS SHINE BLACK EL,Lakme,MAKEUP,224,29,117.0,118.62683473430285,1.8211941419096669,1082.6238243158034,0.0,1.3904570378656809,98.60954296213431,1.6268347343028466,1.3904570378656809
546818,LAKME LSE ULTRAMATTE COMPACT SPF40 7G,Lakme,SKIN,181,22,49.0,48.27904225644651,1.0695323734003883,4133.8579879084355,0.0,1.4713423337826348,98.52865766621737,-0.7209577435534911,-1.4713423337826348
574742,DOVE DAILY SHINE SHAMPOO 650 ML,DOVE,HAIR CARE,144,23,60.0,60.97292078011254,1.277380863171644,4293.637758346928,0.0,1.6215346335208973,98.3784653664791,0.9729207801125384,1.6215346335208973
530299,LAK ABS DRY COMP 05 BEIGE HONEY,Lakme,MAKEUP,227,30,167.0,169.82093120644413,2.5282647638942164,75.4824536802569,24.517546319743104,1.6891803631401974,98.3108196368598,2.820931206444129,1.6891803631401974
570972,SIMPLE VIT C CLAY MASK 50G,Simple,SKIN,225,29,137.0,134.1896487042599,1.601315329674199,1327.2589123413366,0.0,2.051351310759201,97.9486486892408,-2.810351295740105,-2.051351310759201
571139,LBP RICE WTR ANGLICA SEED OIL CNDTNR400M,LBP,HAIR CARE,132,18,32.0,32.70133655816269,0.999441015045297,4115.713666501442,0.0,2.1916767442583973,97.8083232557416,0.7013365581626871,2.1916767442583973
571018,LAKME ABSOLUTE GLOW PRIMER,Lakme,MAKEUP,177,26,55.0,53.786359591376026,1.001639254459825,2103.707028037719,0.0,2.206618924770861,97.79338107522914,-1.2136404086239736,-2.206618924770861
569803,LAKME ABSOL PERFECT RADIANCE SERUM 15ML,Lakme,SKIN,188,27,87.0,85.02832936645993,1.693628196750591,3294.4334031610156,0.0,2.266288084528818,97.73371191547118,-1.9716706335400715,-2.266288084528818
570943,LBP TEA TREE SHAMPOO 200ML,LBP,HAIR CARE,156,28,122.0,118.09046031507329,1.8025411424010256,2458.0699230187925,0.0,3.2045407253497653,96.79545927465024,-3.909539684926713,-3.2045407253497653
557438,LAKME 9TO5 EYECONIC EYELINER 4.5ML,Lakme,MAKEUP,229,30,140.0,144.7088711549422,1.3072650442847429,45.11283085578679,54.88716914421321,3.363479396387277,96.63652060361272,4.708871154942187,3.363479396387277
571231,LAKME TRUEWEAR COLOR CRUSH 16,Lakme,MAKEUP,208,25,81.0,78.23058324286036,1.599470926508393,3729.5207386398106,0.0,3.419033033505726,96.58096696649427,-2.7694167571396378,-3.419033033505726
573338,LAKME ABS BND MAT LIP 501 BURGNDYBS3.4GM,Lakme,MAKEUP,128,23,46.0,44.3780903360373,0.8442143576725151,3141.2193244999103,0.0,3.5258905738319495,96.47410942616806,-1.6219096639626969,-3.5258905738319495
530343,LAK ABS MATTE 16H 01IVRY FAIR,Lakme,MAKEUP,204,24,93.0,96.93935600353896,1.782886738261518,5294.3805589929025,0.0,4.235866670472001,95.764133329528,3.939356003538961,4.235866670472001
568960,LAKME LUMI CREAM SKIN 60G,Lakme,SKIN,180,27,65.0,67.84598583304603,1.099072817191047,2033.6186758746287,0.0,4.378439743147737,95.62156025685226,2.8459858330460293,4.378439743147737
571140,LBP RICE WTR ANGLICA SEED OIL SHAMPO400M,LBP,HAIR CARE,130,26,41.0,42.88175452462476,0.7785427640876729,1915.238486680572,0.0,4.589645182011611,95.41035481798839,1.8817545246247604,4.589645182011611
574743,DOVE HAIR FALL RESCUE SHAMPOO 650 ML,DOVE,HAIR CARE,168,24,65.0,61.89677574909574,1.285868565045008,3922.040487309383,0.0,4.774191155237325,95.22580884476267,-3.103224250904262,-4.774191155237325
548919,LAKME EYECONIC KAJAL DEEPBLCK TWIN 0.35G,Lakme,MAKEUP,232,30,616.0,645.7062874914072,6.881944117669401,43.51763117602622,56.48236882397378,4.822449268085591,95.17755073191441,29.706287491407238,4.822449268085591
570929,LBP ARGAN OIL & LAVENDER SHP 200ML,LBP,HAIR CARE,226,29,123.0,129.11811491438638,1.5373258550289068,1351.6905493981951,0.0,4.97407716616779,95.02592283383221,6.118114914386382,4.97407716616779
