SKU_Code,Product_Name,Brand,Category,Train_Days,Test_Days,Actual_Total,Forecast_Total,MAE,MAPE,Accuracy
570970,SIMPLE SKIN MICELLAR CLEG WATER 200ML,Simple,SKIN,213,27,121.0,99.39431460592229,2.094646662149348,2809.924871550544,0.0
545784,LAKME SUN EXPERT GEL SPF50 100G,Lakme,SKIN,211,30,97.0,66.15561136250292,1.5547266736652106,50.84505482526582,49.15494517473418
506527,LAK JEWEL SINDOOR MAROON,Lakme,MAKEUP,200,30,161.0,124.51569066919117,2.7415450611122867,75.06487422553909,24.935125774460914
532009,LAK EYECONIC CURLING MASCARA,Lakme,MAKEUP,211,29,79.0,68.8368277436813,0.9277267759351973,658.8116966559804,0.0
563936,LAKME 9-5 LIQ CONCEALER 34 ALMOND,Lakme,MAKEUP,202,28,79.0,110.73561784581743,2.1588973358663455,1779.8695692106073,0.0
533771,LAK CC CREAM BRONZE 30GM,Lakme,SKIN,210,28,69.0,79.79515299729636,0.991447607329565,1717.4272751747694,0.0
566767,LAKME ABS MADE TO LAST SETTING SPRAY60ML,Lakme,MAKEUP,207,20,32.0,66.54460213597626,1.3783604160740495,7767.163696575595,0.0
570959,SIMPLE KIND TO SKIN MOIST FAC WSH 150ML,Simple,SKIN,204,26,72.0,80.17254629906658,1.4222846906187423,3184.608277714379,0.0
533402,LAK ABS WI W&D COMP ROSEFAIR02,Lakme,MAKEUP,197,28,78.0,72.35964874980587,1.1622279322231301,1403.3705474946114,0.0
574745,TRESEMME KERATIN SMOOTH SHAMPOO 580ML,TRESEMME,HAIR CARE,188,24,79.0,111.54888809243072,1.8911356681555322,7098.143181060168,0.0
570941,LBP ONION CONDITIONER 200ML,LBP,HAIR CARE,207,26,62.0,85.12194236531255,1.4074936585340732,4475.85811594026,0.0
535858,LAK PR WHITE LIGHT DAY CRM 50G,Lakme,SKIN,209,27,89.0,64.81250224620723,1.5885793081891848,1741.2332505481693,0.0
571247,LAKME TRUEWEAR COLOR CRUSH 403,Lakme,MAKEUP,156,30,134.0,42.959331057847386,3.0728486941444193,57.6782601413173,42.3217398586827
570943,LBP TEA TREE SHAMPOO 200ML,LBP,HAIR CARE,156,28,122.0,118.09046031507329,1.8025411424010256,2458.0699230187925,0.0
530343,LAK ABS MATTE 16H 01IVRY FAIR,Lakme,MAKEUP,204,24,93.0,96.93935600353895,1.7828867382615181,5294.3805589929025,0.0
571231,LAKME TRUEWEAR COLOR CRUSH 16,Lakme,MAKEUP,208,25,81.0,78.23058324286036,1.599470926508393,3729.5207386398106,0.0
553092,LAKME STRAWBERRY FACEWASH 150G,Lakme,SKIN,177,29,104.0,124.57830779240139,1.7438960827029961,1331.405552507267,0.0
531179,LAK SUN UV SPF50 NOR-DRY 100ML,Lakme,SKIN,204,19,45.0,35.206884189828536,1.1760581048632994,4114.6942916384905,0.0
549381,LAKME LIP LOVE CHAPSTICK CHERRY 4.5G,Lakme,SKIN,202,23,72.0,60.89875844709864,1.4138129652396971,4085.4495607645204,0.0
570976,SIMPLE WATER BOOST FACE WASH 150ML,Simple,SKIN,201,25,60.0,52.958496948025974,1.1881613250815888,2631.6000042688074,0.0
572520,LAKME ABS LUMNSSKINTINT FND W160WARMSAND,Lakme,MAKEUP,207,19,36.0,72.56208562462884,1.3346262270536662,7921.214789447345,0.0
574106,LAKME MU+SC VITC SG SP PRIMER 30ML,Lakme,MAKEUP,186,28,86.0,42.49150254560505,1.777372816355875,930.495738240262,0.0
570977,SIMPLE WATER BOOST GEL CREAM 50G,Simple,SKIN,194,25,60.0,51.64205503366177,1.3738980532413094,2618.1235658905516,0.0
